DATA_LOAD_ID,RAW_SRC_PK,RAW_SRC_PK_TYP,RAW_FK,RAW_FK_TYP,PRIMARY_NAME,BUS_NM_TYP
ALL_FDIC_201904,"1,324,832,491",PR_RECORD_ID,5555123457,TRADE_NAME_RECORD_ID,"BANK OF SOCIAL CIRCLE, A DIVISION OF BANK OF MADISON",TRADE_NAME
ALL_FDIC_201904,"1,324,833,253",PR_RECORD_ID,5555123464,TRADE_NAME_RECORD_ID,F&M BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,833,713",PR_RECORD_ID,5555123470,TRADE_NAME_RECORD_ID,PATHWAY FINANCIAL CENTRE,TRADE_NAME
ALL_FDIC_201904,"1,324,833,880",PR_RECORD_ID,5555123473,TRADE_NAME_RECORD_ID,AMEGY BANK OF TEXAS,TRADE_NAME
ALL_FDIC_201904,"1,324,835,180",PR_RECORD_ID,5555123500,TRADE_NAME_RECORD_ID,FIRST NATIONAL BANK OF CROWLEY,TRADE_NAME
ALL_FDIC_201904,"1,324,836,127",PR_RECORD_ID,5555123511,TRADE_NAME_RECORD_ID,CUERO NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,836,490",PR_RECORD_ID,5555123514,TRADE_NAME_RECORD_ID,WEST TENNESSEE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,836,928",PR_RECORD_ID,5555123516,TRADE_NAME_RECORD_ID,FNBP,TRADE_NAME
ALL_FDIC_201904,"1,324,836,953",PR_RECORD_ID,5555123517,TRADE_NAME_RECORD_ID,NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,837,427",PR_RECORD_ID,5555123521,TRADE_NAME_RECORD_ID,FNB,TRADE_NAME
ALL_FDIC_201904,"1,324,837,446",PR_RECORD_ID,5555123522,TRADE_NAME_RECORD_ID,BNY MELLON,TRADE_NAME
ALL_FDIC_201904,"1,324,840,146",PR_RECORD_ID,5555123553,TRADE_NAME_RECORD_ID,COMMUNITY BANK A DIVISION OF FIRST STATE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,840,490",PR_RECORD_ID,5555123557,TRADE_NAME_RECORD_ID,PORTER BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,841,160",PR_RECORD_ID,5555123562,TRADE_NAME_RECORD_ID,COUNTY NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,841,243",PR_RECORD_ID,5555123563,TRADE_NAME_RECORD_ID,HOME NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,842,293",PR_RECORD_ID,5555123571,TRADE_NAME_RECORD_ID,STATE BANK OF JEWETT (A DIVISION OF ALLIANCE BANK CENTRAL TEXAS),TRADE_NAME
ALL_FDIC_201904,"1,324,844,034",PR_RECORD_ID,5555123593,TRADE_NAME_RECORD_ID,SSBFERGUS,TRADE_NAME
ALL_FDIC_201904,"1,324,845,498",PR_RECORD_ID,5555123604,TRADE_NAME_RECORD_ID,FM BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,848,857",PR_RECORD_ID,5555123621,TRADE_NAME_RECORD_ID,REPUBLIC BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,850,593",PR_RECORD_ID,5555123636,TRADE_NAME_RECORD_ID,"BIG LAKE BANK, A BRANCH OF TEXAS FINANCIAL BANK",TRADE_NAME
ALL_FDIC_201904,"1,324,858,274",PR_RECORD_ID,5555123682,TRADE_NAME_RECORD_ID,TOWNEBANK OF CURRITUCK,TRADE_NAME
ALL_FDIC_201904,"1,324,858,333",PR_RECORD_ID,5555123683,TRADE_NAME_RECORD_ID,ACCESSNATIONALBANK,TRADE_NAME
ALL_FDIC_201904,"1,324,858,831",PR_RECORD_ID,5555123688,TRADE_NAME_RECORD_ID,MODERN WOODMEN BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,859,090",PR_RECORD_ID,5555123690,TRADE_NAME_RECORD_ID,BEAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,833,625",PR_RECORD_ID,5555123469,TRADE_NAME_RECORD_ID,BROTHERHOOD BANK & TRUST,TRADE_NAME
ALL_FDIC_201904,"1,324,834,111",PR_RECORD_ID,5555123475,TRADE_NAME_RECORD_ID,CVNB,TRADE_NAME
ALL_FDIC_201904,"1,324,834,786",PR_RECORD_ID,5555123491,TRADE_NAME_RECORD_ID,NEW HOLLAND BANKING CENTER,TRADE_NAME
ALL_FDIC_201904,"1,324,835,140",PR_RECORD_ID,5555123498,TRADE_NAME_RECORD_ID,FIRST NATIONAL BANK OF GROVE,TRADE_NAME
ALL_FDIC_201904,"1,324,835,150",PR_RECORD_ID,5555123499,TRADE_NAME_RECORD_ID,YNB MUSTANG,TRADE_NAME
ALL_FDIC_201904,"1,324,835,554",PR_RECORD_ID,5555123507,TRADE_NAME_RECORD_ID,THE BANK OF PAWHUSKA,TRADE_NAME
ALL_FDIC_201904,"1,324,836,381",PR_RECORD_ID,5555123513,TRADE_NAME_RECORD_ID,CALVIN B. TAYLOR BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,837,562",PR_RECORD_ID,5555123524,TRADE_NAME_RECORD_ID,CAMBRIDGE TRUST,TRADE_NAME
ALL_FDIC_201904,"1,324,837,855",PR_RECORD_ID,5555123527,TRADE_NAME_RECORD_ID,BANK OF ASHLAND,TRADE_NAME
ALL_FDIC_201904,"1,324,838,690",PR_RECORD_ID,5555123536,TRADE_NAME_RECORD_ID,"MINERS BANK, A DIVISION OF MID PENN BANK",TRADE_NAME
ALL_FDIC_201904,"1,324,838,887",PR_RECORD_ID,5555123539,TRADE_NAME_RECORD_ID,FARMERS & MERCHANTS STATE BANK OF CLARKFIELD,TRADE_NAME
ALL_FDIC_201904,"1,324,839,328",PR_RECORD_ID,5555123544,TRADE_NAME_RECORD_ID,"MEREDOSIA COMMUNITY BANK, A FACILITY OF THE BANK OF BLUFFS",TRADE_NAME
ALL_FDIC_201904,"1,324,842,131",PR_RECORD_ID,5555123570,TRADE_NAME_RECORD_ID,STATE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,842,843",PR_RECORD_ID,5555123578,TRADE_NAME_RECORD_ID,MBT,TRADE_NAME
ALL_FDIC_201904,"1,324,843,734",PR_RECORD_ID,5555123588,TRADE_NAME_RECORD_ID,M C BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,843,897",PR_RECORD_ID,5555123590,TRADE_NAME_RECORD_ID,SUITE 100 PRIVATE BANKING,TRADE_NAME
ALL_FDIC_201904,"1,324,843,915",PR_RECORD_ID,5555123591,TRADE_NAME_RECORD_ID,SCB BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,844,194",PR_RECORD_ID,5555123596,TRADE_NAME_RECORD_ID,"BRAVE NATIONAL BAN, A DIVISION OF FIRST NATIONAL BANK OF FORT STOCKTON",TRADE_NAME
ALL_FDIC_201904,"1,324,844,835",PR_RECORD_ID,5555123601,TRADE_NAME_RECORD_ID,ABC BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,847,703",PR_RECORD_ID,5555123609,TRADE_NAME_RECORD_ID,TRADITIONS BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,849,096",PR_RECORD_ID,5555123623,TRADE_NAME_RECORD_ID,SACRAMENTO BANK OF COMMERCE,TRADE_NAME
ALL_FDIC_201904,"1,324,849,726",PR_RECORD_ID,5555123625,TRADE_NAME_RECORD_ID,BANK OF AMERICA,TRADE_NAME
ALL_FDIC_201904,"1,324,850,273",PR_RECORD_ID,5555123630,TRADE_NAME_RECORD_ID,"NORTHAMPTON COOPERATIVE BANK, A DIVISION OF GREENFIELD COOPERATIVE BANK",TRADE_NAME
ALL_FDIC_201904,"1,324,852,071",PR_RECORD_ID,5555123644,TRADE_NAME_RECORD_ID,"KENTUCKY FEDERAL, A DIVISION OF CINCINNATI FEDERAL",TRADE_NAME
ALL_FDIC_201904,"1,324,852,454",PR_RECORD_ID,5555123648,TRADE_NAME_RECORD_ID,"MORGAN FEDERAL BANK, A BRANCH OF GOLDEN BELT BANK, FSA",TRADE_NAME
ALL_FDIC_201904,"1,324,852,606",PR_RECORD_ID,5555123650,TRADE_NAME_RECORD_ID,INVESTORS COMMERCIAL INC.,TRADE_NAME
ALL_FDIC_201904,"1,324,853,269",PR_RECORD_ID,5555123654,TRADE_NAME_RECORD_ID,"BANK OF ST. CROIX, A DIVISION OF UNITED FIDELITY BANK, FSB",TRADE_NAME
ALL_FDIC_201904,"1,324,856,082",PR_RECORD_ID,5555123666,TRADE_NAME_RECORD_ID,UNITED FINANCIAL BANK OF FLORIDA,TRADE_NAME
ALL_FDIC_201904,"1,324,856,182",PR_RECORD_ID,5555123667,TRADE_NAME_RECORD_ID,"DESERT COMMUNITY BANK, A DIVISION OF FLAGSTAR BANK",TRADE_NAME
ALL_FDIC_201904,"1,324,857,028",PR_RECORD_ID,5555123669,TRADE_NAME_RECORD_ID,EASTERN SIERRA COMMUNITY BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,858,426",PR_RECORD_ID,5555123684,TRADE_NAME_RECORD_ID,UTAH COMMUNITY BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,833,552",PR_RECORD_ID,5555123467,TRADE_NAME_RECORD_ID,CITIZENS STATE BANK OF RIDGWAY,TRADE_NAME
ALL_FDIC_201904,"1,324,834,447",PR_RECORD_ID,5555123481,TRADE_NAME_RECORD_ID,WOOD COUNTY NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,834,521",PR_RECORD_ID,5555123483,TRADE_NAME_RECORD_ID,THE MARFA NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,834,527",PR_RECORD_ID,5555123484,TRADE_NAME_RECORD_ID,TFNB YOUR BANK FOR LIFE,TRADE_NAME
ALL_FDIC_201904,"1,324,834,587",PR_RECORD_ID,5555123486,TRADE_NAME_RECORD_ID,"SECURITY BANK, QUANAH, TX",TRADE_NAME
ALL_FDIC_201904,"1,324,834,661",PR_RECORD_ID,5555123488,TRADE_NAME_RECORD_ID,FIRST FEDERAL BANK OF TUSCOLA,TRADE_NAME
ALL_FDIC_201904,"1,324,834,827",PR_RECORD_ID,5555123492,TRADE_NAME_RECORD_ID,BEAN CAPITAL BANKING CENTER,TRADE_NAME
ALL_FDIC_201904,"1,324,834,890",PR_RECORD_ID,5555123494,TRADE_NAME_RECORD_ID,"FIRST NATIONAL BANK OF NWA""A DIVISION OF FIRST NATIONAL BANK OF FORT SMITH""",TRADE_NAME
ALL_FDIC_201904,"1,324,835,009",PR_RECORD_ID,5555123495,TRADE_NAME_RECORD_ID,MIDFIRST PRIVATE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,835,102",PR_RECORD_ID,5555123496,TRADE_NAME_RECORD_ID,FIRST NATIONAL BANK OF DAVIS,TRADE_NAME
ALL_FDIC_201904,"1,324,835,525",PR_RECORD_ID,5555123504,TRADE_NAME_RECORD_ID,FIRST BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,837,301",PR_RECORD_ID,5555123520,TRADE_NAME_RECORD_ID,JVB,TRADE_NAME
ALL_FDIC_201904,"1,324,837,506",PR_RECORD_ID,5555123523,TRADE_NAME_RECORD_ID,BANKHAUS,TRADE_NAME
ALL_FDIC_201904,"1,324,838,548",PR_RECORD_ID,5555123534,TRADE_NAME_RECORD_ID,"ALL AMERICAN MUSTANG BANK, TECUMSEH ELEMENTARY SCHOOL, TECUMSEH, KS",TRADE_NAME
ALL_FDIC_201904,"1,324,839,611",PR_RECORD_ID,5555123548,TRADE_NAME_RECORD_ID,MARENGO BANK FACILITY OF GRINNELL STATE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,841,091",PR_RECORD_ID,5555123561,TRADE_NAME_RECORD_ID,"FOUNDATION BANK, DIVISION OF MCKENZIE BANKING COMPANY",TRADE_NAME
ALL_FDIC_201904,"1,324,843,339",PR_RECORD_ID,5555123583,TRADE_NAME_RECORD_ID,TALIHINA BRANCH SPIRO STATE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,843,514",PR_RECORD_ID,5555123586,TRADE_NAME_RECORD_ID,IRWIN COUNTY STATE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,844,066",PR_RECORD_ID,5555123594,TRADE_NAME_RECORD_ID,HANSTON STATE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,844,836",PR_RECORD_ID,5555123602,TRADE_NAME_RECORD_ID,BANK OF ATCHISON,TRADE_NAME
ALL_FDIC_201904,"1,324,845,507",PR_RECORD_ID,5555123605,TRADE_NAME_RECORD_ID,"EAGLE BANK, A BRANCH OF ROUND TOP STATE BANK",TRADE_NAME
ALL_FDIC_201904,"1,324,848,206",PR_RECORD_ID,5555123613,TRADE_NAME_RECORD_ID,COMMERCE NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,848,743",PR_RECORD_ID,5555123616,TRADE_NAME_RECORD_ID,COMMUNITY WEALTH GROUP,TRADE_NAME
ALL_FDIC_201904,"1,324,848,851",PR_RECORD_ID,5555123619,TRADE_NAME_RECORD_ID,DEDHAM SAVINGS,TRADE_NAME
ALL_FDIC_201904,"1,324,850,143",PR_RECORD_ID,5555123627,TRADE_NAME_RECORD_ID,THE FIRST NATIONAL BANK IN COMANCHE,TRADE_NAME
ALL_FDIC_201904,"1,324,850,219",PR_RECORD_ID,5555123629,TRADE_NAME_RECORD_ID,RBC BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,850,397",PR_RECORD_ID,5555123633,TRADE_NAME_RECORD_ID,BANKHOMETOWN,TRADE_NAME
ALL_FDIC_201904,"1,324,851,909",PR_RECORD_ID,5555123643,TRADE_NAME_RECORD_ID,NORTHWEST BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,852,552",PR_RECORD_ID,5555123649,TRADE_NAME_RECORD_ID,PARK PLACE FINANCIAL ADVISORS,TRADE_NAME
ALL_FDIC_201904,"1,324,852,724",PR_RECORD_ID,5555123651,TRADE_NAME_RECORD_ID,WHIDBEY ISLAND BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,853,397",PR_RECORD_ID,5555123656,TRADE_NAME_RECORD_ID,BANK OF BUFFALO,TRADE_NAME
ALL_FDIC_201904,"1,324,858,108",PR_RECORD_ID,5555123679,TRADE_NAME_RECORD_ID,GREENWICH BANK AND TRUST COMPANY,TRADE_NAME
ALL_FDIC_201904,"1,324,858,742",PR_RECORD_ID,5555123685,TRADE_NAME_RECORD_ID,BARCLAYS,TRADE_NAME
ALL_FDIC_201904,"1,324,859,463",PR_RECORD_ID,5555123697,TRADE_NAME_RECORD_ID,MOUNTAIN VALLEY COMMUNITY BANK A DIVISION OF THE PIEDMONT BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,859,579",PR_RECORD_ID,5555123698,TRADE_NAME_RECORD_ID,BANK OF THE FINGER LAKES,TRADE_NAME
ALL_FDIC_201904,"1,324,832,776",PR_RECORD_ID,5555123459,TRADE_NAME_RECORD_ID,MAUNFACTURERS & TRADERS TRUST COMPANY,TRADE_NAME
ALL_FDIC_201904,"1,324,832,793",PR_RECORD_ID,5555123460,TRADE_NAME_RECORD_ID,CHASE,TRADE_NAME
ALL_FDIC_201904,"1,324,833,611",PR_RECORD_ID,5555123468,TRADE_NAME_RECORD_ID,"VIKING STATE BANK & TRUST, A DIVISION OF WAUKON STATE BANK",TRADE_NAME
ALL_FDIC_201904,"1,324,834,204",PR_RECORD_ID,5555123476,TRADE_NAME_RECORD_ID,FNB,TRADE_NAME
ALL_FDIC_201904,"1,324,834,425",PR_RECORD_ID,5555123480,TRADE_NAME_RECORD_ID,FIRST NATIONAL BANK - GATESVILLE,TRADE_NAME
ALL_FDIC_201904,"1,324,834,566",PR_RECORD_ID,5555123485,TRADE_NAME_RECORD_ID,OZONA BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,834,611",PR_RECORD_ID,5555123487,TRADE_NAME_RECORD_ID,BANK OF AMERICA,TRADE_NAME
ALL_FDIC_201904,"1,324,834,889",PR_RECORD_ID,5555123493,TRADE_NAME_RECORD_ID,FIRST NATIONAL BANK & TRUST,TRADE_NAME
ALL_FDIC_201904,"1,324,838,576",PR_RECORD_ID,5555123535,TRADE_NAME_RECORD_ID,COMPASS EXCHANGE ADVISORS,TRADE_NAME
ALL_FDIC_201904,"1,324,839,017",PR_RECORD_ID,5555123541,TRADE_NAME_RECORD_ID,STATE BANK LA CROSSE,TRADE_NAME
ALL_FDIC_201904,"1,324,839,590",PR_RECORD_ID,5555123547,TRADE_NAME_RECORD_ID,FARINA BANKING CENTER,TRADE_NAME
ALL_FDIC_201904,"1,324,839,663",PR_RECORD_ID,5555123549,TRADE_NAME_RECORD_ID,BANK OF YAZOO,TRADE_NAME
ALL_FDIC_201904,"1,324,841,463",PR_RECORD_ID,5555123566,TRADE_NAME_RECORD_ID,FIRST NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,842,787",PR_RECORD_ID,5555123576,TRADE_NAME_RECORD_ID,"BANK OF EASTERN WASHINGTON, A BRANCH OF BANK OF EASTERN OREGON",TRADE_NAME
ALL_FDIC_201904,"1,324,842,790",PR_RECORD_ID,5555123577,TRADE_NAME_RECORD_ID,CLARENCESTATEBANK,TRADE_NAME
ALL_FDIC_201904,"1,324,843,399",PR_RECORD_ID,5555123584,TRADE_NAME_RECORD_ID,PINNACLE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,845,717",PR_RECORD_ID,5555123606,TRADE_NAME_RECORD_ID,HEALTHCAREBANK,TRADE_NAME
ALL_FDIC_201904,"1,324,848,154",PR_RECORD_ID,5555123612,TRADE_NAME_RECORD_ID,COLORADO BUSINESS BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,851,009",PR_RECORD_ID,5555123637,TRADE_NAME_RECORD_ID,"MOORE COUNTY BANK, A BRANCH OF FIRST COMMUNITY BANK OF TENNESSEE",TRADE_NAME
ALL_FDIC_201904,"1,324,851,819",PR_RECORD_ID,5555123642,TRADE_NAME_RECORD_ID,NELSONVILLE HOME AND SAVINGS BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,852,253",PR_RECORD_ID,5555123645,TRADE_NAME_RECORD_ID,FIRST BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,852,398",PR_RECORD_ID,5555123646,TRADE_NAME_RECORD_ID,ILLINOIS STATE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,854,069",PR_RECORD_ID,5555123659,TRADE_NAME_RECORD_ID,FIRSTBANK FLORIDA,TRADE_NAME
ALL_FDIC_201904,"1,324,854,485",PR_RECORD_ID,5555123661,TRADE_NAME_RECORD_ID,FIRST PEKIN SAVINGS BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,858,083",PR_RECORD_ID,5555123678,TRADE_NAME_RECORD_ID,"THE COMMUNITY BANK OF EAST TENNESSEE, AN OFFICE OF SOUTHERN BANK OF TENNESSEE",TRADE_NAME
ALL_FDIC_201904,"1,324,833,203",PR_RECORD_ID,5555123463,TRADE_NAME_RECORD_ID,CBTX,TRADE_NAME
ALL_FDIC_201904,"1,324,833,447",PR_RECORD_ID,5555123465,TRADE_NAME_RECORD_ID,"BANK OF MEMPHIS, A DIVISION OF BANK OF KIRKSVILLE",TRADE_NAME
ALL_FDIC_201904,"1,324,833,849",PR_RECORD_ID,5555123472,TRADE_NAME_RECORD_ID,"BANK OF JOLIET, BANK OF THERMOPOLIS",TRADE_NAME
ALL_FDIC_201904,"1,324,834,414",PR_RECORD_ID,5555123479,TRADE_NAME_RECORD_ID,"THE DUBLIN NATIONAL BANK DIVISION OF BANK OF HOUSTON, N.A.",TRADE_NAME
ALL_FDIC_201904,"1,324,834,484",PR_RECORD_ID,5555123482,TRADE_NAME_RECORD_ID,CROCKETT BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,835,137",PR_RECORD_ID,5555123497,TRADE_NAME_RECORD_ID,BANK OF ALBUQUERQUE,TRADE_NAME
ALL_FDIC_201904,"1,324,837,294",PR_RECORD_ID,5555123519,TRADE_NAME_RECORD_ID,"HALIFAX BANK, AN OPERATING DIVISION OF RIVERVIEW BANK",TRADE_NAME
ALL_FDIC_201904,"1,324,837,676",PR_RECORD_ID,5555123525,TRADE_NAME_RECORD_ID,"THE STATE BANK OF BARTLEY, A DIVISION OF STOCKMENS BANK",TRADE_NAME
ALL_FDIC_201904,"1,324,837,977",PR_RECORD_ID,5555123530,TRADE_NAME_RECORD_ID,LIBERTY BELL BANK A DIVISION OF THE BANK OF DELMARVA,TRADE_NAME
ALL_FDIC_201904,"1,324,838,345",PR_RECORD_ID,5555123533,TRADE_NAME_RECORD_ID,FM BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,838,965",PR_RECORD_ID,5555123540,TRADE_NAME_RECORD_ID,THE BANK OF HARDEMAN COUNTY,TRADE_NAME
ALL_FDIC_201904,"1,324,840,578",PR_RECORD_ID,5555123558,TRADE_NAME_RECORD_ID,"TRINITY CAPITAL BANK OF TEXAS, A BRANCH OF ENNIS STATE BANK",TRADE_NAME
ALL_FDIC_201904,"1,324,841,442",PR_RECORD_ID,5555123565,TRADE_NAME_RECORD_ID,AMERICAN NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,841,917",PR_RECORD_ID,5555123568,TRADE_NAME_RECORD_ID,GARDEN CITY STATE BANK A BRANCH OF KEARNY COUNTY BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,842,607",PR_RECORD_ID,5555123575,TRADE_NAME_RECORD_ID,QUEENS COUNTY SAVINGS BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,843,237",PR_RECORD_ID,5555123582,TRADE_NAME_RECORD_ID,COCHRAN BANK AND TRUST,TRADE_NAME
ALL_FDIC_201904,"1,324,843,485",PR_RECORD_ID,5555123585,TRADE_NAME_RECORD_ID,THE PEOPLES BANK - A DIVISION OF PERSONS BANKING COMPANY,TRADE_NAME
ALL_FDIC_201904,"1,324,847,252",PR_RECORD_ID,5555123608,TRADE_NAME_RECORD_ID,CARTER COUNTY BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,847,967",PR_RECORD_ID,5555123611,TRADE_NAME_RECORD_ID,WINDSOR STATE BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,848,264",PR_RECORD_ID,5555123614,TRADE_NAME_RECORD_ID,UNION BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,850,027",PR_RECORD_ID,5555123626,TRADE_NAME_RECORD_ID,MIDSOUTH NATIONAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,850,327",PR_RECORD_ID,5555123631,TRADE_NAME_RECORD_ID,FIDELITY BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,851,729",PR_RECORD_ID,5555123641,TRADE_NAME_RECORD_ID,TWIN OAKS SAVINGS BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,855,651",PR_RECORD_ID,5555123664,TRADE_NAME_RECORD_ID,BOONE COUNTY BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,857,073",PR_RECORD_ID,5555123670,TRADE_NAME_RECORD_ID,FIRST NATIONAL BANK COASTAL COMMNUITY,TRADE_NAME
ALL_FDIC_201904,"1,324,857,321",PR_RECORD_ID,5555123671,TRADE_NAME_RECORD_ID,COLUMBIA BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,858,255",PR_RECORD_ID,5555123681,TRADE_NAME_RECORD_ID,SURF CITY BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,859,169",PR_RECORD_ID,5555123691,TRADE_NAME_RECORD_ID,CITIZENS BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,859,337",PR_RECORD_ID,5555123693,TRADE_NAME_RECORD_ID,FIRST VISION BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,859,595",PR_RECORD_ID,5555123699,TRADE_NAME_RECORD_ID,IGOBANKING,TRADE_NAME
ALL_FDIC_201904,"1,324,859,877",PR_RECORD_ID,5555123702,TRADE_NAME_RECORD_ID,MARTHA'S VINEYARD BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,832,942",PR_RECORD_ID,5555123462,TRADE_NAME_RECORD_ID,MILLION PINES COMMUNITY BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,834,339",PR_RECORD_ID,5555123477,TRADE_NAME_RECORD_ID,FIRST BANK TEXAS,TRADE_NAME
ALL_FDIC_201904,"1,324,834,340",PR_RECORD_ID,5555123478,TRADE_NAME_RECORD_ID,"BANK OF SAN ANGELO, A BRANCH OF THE FIRST NATIONAL BANK OF BALLINGER",TRADE_NAME
ALL_FDIC_201904,"1,324,835,689",PR_RECORD_ID,5555123508,TRADE_NAME_RECORD_ID,CAPITAL BANK,TRADE_NAME
ALL_FDIC_201904,"1,324,836,053",PR_RECORD_ID,5555123509,TRADE_NAME_RECORD_ID,PLATTE VALLEY COMPANIES,TRADE_NAME
